Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
71. Manchester by the Sea,2016,2h 17m,R,7.8,325K,,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,https://www.imdb.com/title/tt4034228/?ref_=sr_i_71
72. Warcraft,2016,2h 3m,PG-13,6.7,285K,,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",https://www.imdb.com/title/tt0803096/?ref_=sr_i_72
73. How to Be Single,2016,1h 50m,R,6.1,96K,,A group of young adults navigate love and relationships in New York City.,https://www.imdb.com/title/tt1292566/?ref_=sr_i_73
74. Mike and Dave Need Wedding Dates,2016,1h 38m,R,6.0,97K,,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",https://www.imdb.com/title/tt2823054/?ref_=sr_i_74
75. The Great Wall,2016,1h 43m,PG-13,5.9,151K,,"In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",https://www.imdb.com/title/tt2034800/?ref_=sr_i_75
76. War Dogs,2016,1h 54m,R,7.1,269K,,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",https://www.imdb.com/title/tt2005151/?ref_=sr_i_76
77. Almost Christmas,2016,1h 51m,PG-13,6.2,8.2K,,A dysfunctional family gathers together for their first Christmas since their mom died.,https://www.imdb.com/title/tt4649416/?ref_=sr_i_77
78. Money Monster,2016,1h 38m,R,6.5,108K,,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.,https://www.imdb.com/title/tt2241351/?ref_=sr_i_78
79. Allied,2016,2h 4m,R,7.1,173K,,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",https://www.imdb.com/title/tt3640424/?ref_=sr_i_79
80. Nerve,2016,1h 36m,PG-13,6.5,143K,,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",https://www.imdb.com/title/tt3531824/?ref_=sr_i_80
81. Risen,2016,1h 47m,PG-13,6.3,31K,,"In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of Jesus Christ, who rose from the dead.",https://www.imdb.com/title/tt3231054/?ref_=sr_i_81
82. The Nice Guys,2016,1h 56m,R,7.4,386K,,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",https://www.imdb.com/title/tt3799694/?ref_=sr_i_82
83. The Boy,2016,1h 37m,PG-13,6.0,104K,,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",https://www.imdb.com/title/tt3882082/?ref_=sr_i_83
84. Dirty Grandpa,2016,1h 42m,R,5.9,136K,,"Right before his wedding, an uptight corporate lawyer is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",https://www.imdb.com/title/tt1860213/?ref_=sr_i_84
85. Ouija: Origin of Evil,2016,1h 39m,PG-13,6.2,78K,,"In 1967 Los Angeles, a widowed mother's daughter tries to communicate with her late father through a Ouija board, but unleashes a demon instead.",https://www.imdb.com/title/tt4361050/?ref_=sr_i_85
86. The 5th Wave,2016,1h 52m,PG-13,5.2,120K,,"Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.",https://www.imdb.com/title/tt2304933/?ref_=sr_i_86
87. Inferno,2016,2h 1m,PG-13,6.2,193K,,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",https://www.imdb.com/title/tt3062096/?ref_=sr_i_87
88. Monster Trucks,2016,1h 44m,PG,5.7,19K,,A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.,https://www.imdb.com/title/tt3095734/?ref_=sr_i_88
89. Mother's Day,2016,1h 58m,PG-13,5.6,41K,,Three generations come together in the week leading up to Mother's Day.,https://www.imdb.com/title/tt4824302/?ref_=sr_i_89
90. Patriots Day,2016,2h 13m,R,7.3,116K,,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",https://www.imdb.com/title/tt4572514/?ref_=sr_i_90
91. Gods of Egypt,2016,2h 7m,PG-13,5.4,129K,,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",https://www.imdb.com/title/tt2404233/?ref_=sr_i_91
92. Collateral Beauty,2016,1h 37m,PG-13,6.8,106K,,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",https://www.imdb.com/title/tt4682786/?ref_=sr_i_92
"93. Hail, Caesar!",2016,1h 46m,PG-13,6.3,145K,,A Hollywood fixer in the 1950s works to keep the studio's stars in line.,https://www.imdb.com/title/tt0475290/?ref_=sr_i_93
94. Underworld: Blood Wars,2016,1h 31m,R,5.8,83K,,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,https://www.imdb.com/title/tt3717252/?ref_=sr_i_94
95. When the Bough Breaks,2016,1h 47m,PG-13,5.2,8.2K,,A surrogate mom for a couple becomes dangerously obsessed with the soon-to-be father.,https://www.imdb.com/title/tt1389139/?ref_=sr_i_95
96. Zoolander 2,2016,1h 41m,PG-13,4.7,78K,,"Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.",https://www.imdb.com/title/tt1608290/?ref_=sr_i_96
97. Moonlight,2016,1h 51m,R,7.4,338K,,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",https://www.imdb.com/title/tt4975722/?ref_=sr_i_97
98. The Finest Hours,2016,1h 57m,PG-13,6.7,72K,,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,https://www.imdb.com/title/tt2025690/?ref_=sr_i_98
99. Florence Foster Jenkins,2016,1h 51m,PG-13,6.8,60K,,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",https://www.imdb.com/title/tt4136084/?ref_=sr_i_99
100. Hell or High Water,2016,1h 42m,R,7.6,260K,,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",https://www.imdb.com/title/tt2582782/?ref_=sr_i_100
101. Resident Evil: The Final Chapter,2016,1h 47m,R,5.5,103K,,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",https://www.imdb.com/title/tt2592614/?ref_=sr_i_101
102. The Forest,2016,1h 33m,PG-13,4.8,46K,,A young woman's desperate search for her twin sister brings her to a ghost-filled stretch of wilderness known as the 'Suicide Forest.',https://www.imdb.com/title/tt3387542/?ref_=sr_i_102
103. Ben-Hur,2016,2h 3m,PG-13,5.7,48K,,"Judah Ben-Hur, a Jewish prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",https://www.imdb.com/title/tt2638144/?ref_=sr_i_103
104. Leap!,2016,1h 29m,PG,6.8,25K,,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera House.",https://www.imdb.com/title/tt2261287/?ref_=sr_i_104
105. Bridget Jones's Baby,2016,2h 3m,R,6.4,84K,,"Bridget Jones' focus on her single and professional life is interrupted when she discovers she is pregnant, but is unsure of the identity of the father.",https://www.imdb.com/title/tt1473832/?ref_=sr_i_105
106. Kevin Hart: What Now?,2016,1h 36m,R,5.9,10K,,"Comedian Kevin Hart performs in front of a crowd of 53,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",https://www.imdb.com/title/tt4669186/?ref_=sr_i_106
107. Whiskey Tango Foxtrot,2016,1h 52m,R,6.6,58K,,A journalist recounts her wartime coverage in Afghanistan.,https://www.imdb.com/title/tt3553442/?ref_=sr_i_107
108. Snowden,2016,2h 14m,R,7.3,166K,,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",https://www.imdb.com/title/tt3774114/?ref_=sr_i_108
109. Mechanic: Resurrection,2016,1h 38m,R,5.7,96K,,Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,https://www.imdb.com/title/tt3522806/?ref_=sr_i_109
110. Blair Witch,2016,1h 29m,R,5.0,51K,,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.",https://www.imdb.com/title/tt1540011/?ref_=sr_i_110
111. God's Not Dead 2,2016,2h,PG,4.3,14K,,"When a high school teacher is asked a question in class about Jesus, her response lands her in deep trouble.",https://www.imdb.com/title/tt4824308/?ref_=sr_i_111
112. Free State of Jones,2016,2h 19m,R,6.9,65K,,A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,https://www.imdb.com/title/tt1124037/?ref_=sr_i_112
113. Keanu,2016,1h 40m,R,6.2,53K,,"When the adorable kitten of an L.A. crime kingpin unexpectedly enters the life of two cousins, they will have to go through tough gangs, pitiless hit-men, and ruthless drug dealers who all claim him, to get him back. How hard can it be?",https://www.imdb.com/title/tt4139124/?ref_=sr_i_113
