Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,director,budget,opening_weekend_Gross,grossWorldWide,gross_US_Canada,countries_origin,filming_locations,production_company,awards_content,genres,Languages,release_date,stars
211. Collide,2016,1h 39m,PG-13,5.7,18K,33,"An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",https://www.imdb.com/title/tt2126235/?ref_=sr_i_211,,,,,,,,,,,,,,
212. The Patriarch,2016,1h 34m,PG-13,6.9,1.3K,,"When Don Servando Villegas gets expelled from his retirement home, his younger son Francisco takes him in. Don Servando is about to find out the truth about his son and his way of living.",https://www.imdb.com/title/tt4958468/?ref_=sr_i_212,,,,,,,,,,,,,,
213. Paterson,2016,1h 58m,R,7.3,91K,90,"A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.",https://www.imdb.com/title/tt5247022/?ref_=sr_i_213,,,,,,,,,,,,,,
214. Train to Busan,2016,1h 58m,Not Rated,7.6,274K,73,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",https://www.imdb.com/title/tt5700672/?ref_=sr_i_214,,,,,,,,,,,,,,
215. I'm Not Ashamed,2016,1h 52m,PG-13,5.8,4.3K,31,"The true story of Rachel Joy Scott, the first student killed in the Columbine High School shooting on April 20, 1999.",https://www.imdb.com/title/tt4950110/?ref_=sr_i_215,,,,,,,,,,,,,,
216. The Handmaiden,2016,2h 25m,Not Rated,8.1,182K,85,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",https://www.imdb.com/title/tt4016934/?ref_=sr_i_216,,,,,,,,,,,,,,
217. Greater,2016,2h 10m,PG,7.4,8.9K,35,"The story of Brandon Burlsworth, possibly the greatest walk-on in the history of college football.",https://www.imdb.com/title/tt2950418/?ref_=sr_i_217,,,,,,,,,,,,,,
218. Shin Godzilla,2016,2h,Not Rated,6.8,40K,67,Japan is plunged into chaos upon the appearance of a giant monster.,https://www.imdb.com/title/tt4262980/?ref_=sr_i_218,,,,,,,,,,,,,,
219. A Quiet Passion,2016,2h 5m,PG-13,6.4,6.5K,78,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",https://www.imdb.com/title/tt2392830/?ref_=sr_i_219,,,,,,,,,,,,,,
220. M.S. Dhoni: The Untold Story,2016,3h 4m,Not Rated,8.0,71K,,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,https://www.imdb.com/title/tt4169250/?ref_=sr_i_220,,,,,,,,,,,,,,
221. Free Fire,2016,1h 31m,R,6.3,52K,63,"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival.",https://www.imdb.com/title/tt4158096/?ref_=sr_i_221,,,,,,,,,,,,,,
222. Find a Boyfriend for My Wife... PLEASE!,2016,1h 32m,PG-13,5.7,526,,"Paco, so fed up with his nagging and nitpicking wife, comes up with an ingenious plan to end the unhappy union: Find her a boyfriend by hiring a professional seducer nicknamed ""El Taiger"" to whisk her off her feet and out of the marriage.",https://www.imdb.com/title/tt5321942/?ref_=sr_i_222,,,,,,,,,,,,,,
223. Billy Lynn's Long Halftime Walk,2016,1h 53m,R,6.2,24K,53,"19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks, the film shows what really happened to his squad - contrasting the realities of war with America's perceptions.",https://www.imdb.com/title/tt2513074/?ref_=sr_i_223,,,,,,,,,,,,,,
"224. To Joey, with Love",2016,1h 30m,Not Rated,8.3,196,,"This movie tells the story of the incredible Joey Feek and her amazing life. Filmed while battling cancer, Joey along with her family and friends show you that it's not just physically healthy people who live healthy lives. Take a little time to laugh, smile, and cry with this amazing woman's journey and the goodbyes of her loving family when she decides to let the Lord lead her home.",https://www.imdb.com/title/tt6023560/?ref_=sr_i_224,,,,,,,,,,,,,,
225. Weiner,2016,1h 36m,R,7.6,11K,84,An examination of disgraced New York Congressman Anthony Weiner's mayoral campaign and today's political landscape.,https://www.imdb.com/title/tt5278596/?ref_=sr_i_225,,,,,,,,,,,,,,
226. The Comedian,2016,2h,R,5.8,8.3K,40,A look at the life of an aging insult comic named Jack Burke.,https://www.imdb.com/title/tt1967614/?ref_=sr_i_226,,,,,,,,,,,,,,
227. Equity,2016,1h 40m,R,5.6,3.9K,68,Senior investment banker Naomi Bishop is threatened by a financial scandal and must untangle a web of corruption.,https://www.imdb.com/title/tt3958780/?ref_=sr_i_227,,,,,,,,,,,,,,
228. Neerja,2016,2h 2m,Not Rated,7.6,24K,,"The story of courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on Pan Am Flight 73 in 1986 when it was hijacked by a terrorist organization.",https://www.imdb.com/title/tt5286444/?ref_=sr_i_228,,,,,,,,,,,,,,
229. Priceless,2016,1h 37m,PG-13,6.0,4.3K,41,"A widower who's lost custody of his daughter finds himself unable to hold down a job. He agrees to drive a truck cross-country, no questions asked, but when he discovers the nature of his cargo, he is faced with a life-changing decision.",https://www.imdb.com/title/tt4978274/?ref_=sr_i_229,,,,,,,,,,,,,,
230. Julieta,2016,1h 39m,R,7.1,34K,73,"After a casual encounter, a brokenhearted woman decides to confront her life and the most important events involving her estranged daughter.",https://www.imdb.com/title/tt4326444/?ref_=sr_i_230,,,,,,,,,,,,,,
231. Toni Erdmann,2016,2h 42m,R,7.3,53K,93,A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.,https://www.imdb.com/title/tt4048272/?ref_=sr_i_231,,,,,,,,,,,,,,
232. The Wedding Plan,2016,1h 50m,PG,6.5,1.6K,72,"When her fiancé bows out on the eve of her wedding, Michal refuses to cancel the wedding arrangements. An Orthodox Jew, she insists that God will supply her a husband. As the clock ticks down.",https://www.imdb.com/title/tt5991206/?ref_=sr_i_232,,,,,,,,,,,,,,
233. Genius,2016,1h 44m,PG-13,6.5,22K,56,"A chronicle of Max Perkins's time as the book editor at Scribner, where he oversaw works by Thomas Wolfe, Ernest Hemingway, F. Scott Fitzgerald and others.",https://www.imdb.com/title/tt1703957/?ref_=sr_i_233,,,,,,,,,,,,,,
234. The Neon Demon,2016,1h 57m,R,6.1,106K,51,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",https://www.imdb.com/title/tt1974419/?ref_=sr_i_234,,,,,,,,,,,,,,
235. Housefull 3,2016,2h 20m,Not Rated,4.9,11K,,"A father doesn't want his three daughters to get married. Now, it's up to three men to try to and convince the father that they're a good fit for his daughters.",https://www.imdb.com/title/tt4559046/?ref_=sr_i_235,,,,,,,,,,,,,,
236. Personal Shopper,2016,1h 45m,R,6.1,44K,77,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,https://www.imdb.com/title/tt4714782/?ref_=sr_i_236,,,,,,,,,,,,,,
237. Mohenjo Daro,2016,2h 35m,Not Rated,5.6,13K,39,"In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro.",https://www.imdb.com/title/tt3859980/?ref_=sr_i_237,,,,,,,,,,,,,,
238. The Women's Balcony,2016,1h 36m,,6.6,864,74,A bar mitzvah mishap causes a major rift in a devout Orthodox community in Jerusalem.,https://www.imdb.com/title/tt5974460/?ref_=sr_i_238,,,,,,,,,,,,,,
239. Vaxxed: From Cover-Up to Catastrophe,2016,1h 31m,,4.6,5.3K,24,"A documentary alleging that the CDC, the government agency charged with protecting the health of American citizens, destroyed data on their 2004 study that allegedly showed a link between the MMR vaccine and autism.",https://www.imdb.com/title/tt5562652/?ref_=sr_i_239,,,,,,,,,,,,,,
240. Lady Macbeth,2016,1h 29m,R,6.8,28K,76,"In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.",https://www.imdb.com/title/tt4291600/?ref_=sr_i_240,,,,,,,,,,,,,,
241. Wazir,2016,1h 43m,Not Rated,7.1,20K,,A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,https://www.imdb.com/title/tt0315642/?ref_=sr_i_241,,,,,,,,,,,,,,
242. The Insanity of God,2016,,,7.6,139,,"Based on the best selling book by Nik Ripken, The Insanity of God is the personal and lifelong journey of an ordinary couple from rural Kentucky who thought they were going on just your ordinary missionary pilgrimage, but discovered it would be anything but. After spending over six hard years doing relief work in Somalia, and experiencing life where it looked like God had turned away completely and He was clueless about the tragedies of life.",https://www.imdb.com/title/tt4273630/?ref_=sr_i_242,,,,,,,,,,,,,,
243. Certain Women,2016,1h 47m,R,6.4,16K,82,"The lives of three women intersect in small-town America, where each is imperfectly blazing a trail.",https://www.imdb.com/title/tt4468634/?ref_=sr_i_243,,,,,,,,,,,,,,
244. Rustom,2016,2h 28m,Not Rated,7.0,29K,,"A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",https://www.imdb.com/title/tt5165344/?ref_=sr_i_244,,,,,,,,,,,,,,
245. A Silent Voice: The Movie,2016,2h 10m,Not Rated,8.1,112K,78,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.",https://www.imdb.com/title/tt5323662/?ref_=sr_i_245,,,,,,,,,,,,,,
246. The Innocents,2016,1h 55m,PG-13,7.3,12K,78,"1945. Mathilde is a French Red Cross doctor working on a mission to help the French survivors of the German camps. While she works in Poland, she is asked for help by a nun. In her convent, several nuns are pregnant.",https://www.imdb.com/title/tt4370784/?ref_=sr_i_246,,,,,,,,,,,,,,
247. Elvis & Nixon,2016,1h 26m,R,6.3,15K,59,"The untold true story behind the meeting between Elvis Presley, the King of Rock 'n Roll, and President Richard Nixon, resulting in this revealing, yet humorous moment immortalized in the most requested photograph in the National Archives.",https://www.imdb.com/title/tt2093991/?ref_=sr_i_247,,,,,,,,,,,,,,
248. Battle for Incheon: Operation Chromite,2016,1h 51m,Not Rated,6.2,6.3K,50,A team of spies is sent into Incheon to gain intelligence on North Korean positions ahead of the invasion by UN forces.,https://www.imdb.com/title/tt4939066/?ref_=sr_i_248,,,,,,,,,,,,,,
249. The Hollars,2016,1h 28m,PG-13,6.6,15K,53,A man returns to his small hometown after learning that his mother has fallen ill and is about to undergo surgery.,https://www.imdb.com/title/tt3714720/?ref_=sr_i_249,,,,,,,,,,,,,,
250. Yu-Gi-Oh!: The Dark Side of Dimensions,2016,2h 10m,PG,6.8,3.7K,,Yugi and Kaiba have a special duel that transcends dimensions.,https://www.imdb.com/title/tt4273562/?ref_=sr_i_250,,,,,,,,,,,,,,
251. Baar Baar Dekho,2016,2h 21m,Not Rated,5.4,7.9K,,The highs and lows of a romantic relationship are examined through flashbacks and flash-forwards.,https://www.imdb.com/title/tt5197544/?ref_=sr_i_251,,,,,,,,,,,,,,
252. Neruda,2016,1h 47m,R,6.8,11K,82,"An inspector hunts down Nobel Prize-winning Chilean poet Pablo Neruda, who becomes a fugitive in his home country in the late 1940s for joining the Communist Party.",https://www.imdb.com/title/tt4698584/?ref_=sr_i_252,,,,,,,,,,,,,,
253. The Red Turtle,2016,1h 20m,PG,7.5,40K,86,"A man is shipwrecked on a deserted island and encounters a big red turtle, which changes his life.",https://www.imdb.com/title/tt3666024/?ref_=sr_i_253,,,,,,,,,,,,,,
254. George Takei's Allegiance,2016,2h 10m,,8.3,275,,"Allegiance illuminates one of American history's lesser known chapters as it tells the story of Sam Kimura, transported back nearly six decades to when his younger self and his sister Kei fought to stay connected to their heritage, their family and themselves after Japanese Americans were wrongfully imprisoned during World War II. An important story told with great resonance and intimacy, Allegiance explores the ties that bind us, the struggle to persevere and the overwhelming power of forgiveness and, most especially, love",https://www.imdb.com/title/tt6316170/?ref_=sr_i_254,,,,,,,,,,,,,,
255. Gentleman,2016,2h 24m,,7.1,2.8K,,"Catherine finds herself in a web of deception and lies when she finds out that the fiance of her friend Aiswarya might not be as ""Gentleman"" as he seem.",https://www.imdb.com/title/tt5815940/?ref_=sr_i_255,,,,,,,,,,,,,,
256. Believe,2016,1h 59m,PG,5.1,488,,A small-town business owner tries to save the local Christmas pageant against all odds.,https://www.imdb.com/title/tt4700756/?ref_=sr_i_256,,,,,,,,,,,,,,
257. Frantz,2016,1h 53m,PG-13,7.5,18K,73,"In the aftermath of WWI, a young German who grieves the death of her fiancé in France meets a mysterious Frenchman who visits the fiancé's grave to lay flowers.",https://www.imdb.com/title/tt5029608/?ref_=sr_i_257,,,,,,,,,,,,,,
258. Ki & Ka,2016,2h 6m,Not Rated,5.7,6.5K,,"Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.",https://www.imdb.com/title/tt4744086/?ref_=sr_i_258,,,,,,,,,,,,,,
259. Premam,2016,2h 37m,,6.4,1.9K,,Vikram falls in love with three women at different stages of his life which changes him as a person until he finally meets the love of his life.,https://www.imdb.com/title/tt5712058/?ref_=sr_i_259,,,,,,,,,,,,,,
260. Dishoom,2016,2h 4m,Not Rated,5.2,9.2K,,"When India's top batsman goes missing in the Middle East, two mismatched cops must team up for a 36-hour manhunt before the cricket final.",https://www.imdb.com/title/tt3679060/?ref_=sr_i_260,,,,,,,,,,,,,,
261. Operation Mekong,2016,2h 3m,Not Rated,6.5,5.5K,,"Inspired by the true story known as the Mekong Massacre--two Chinese commercial vessels are ambushed while traveling down the Mekong River in the waters of the Golden Triangle, one of the largest drug-manufacturing regions in the world. 13 sailors are executed at gunpoint, and 900,000 methamphetamine pills are recovered at the scene. Upon discovery, the Chinese government immediately sends a band of elite narcotics officers led by Captain Gao Gang (Zhang Hanyu) to the Golden Triangle to uncover the truth behind the murders. Tea field owner and Golden Triangle-based intelligence officer Fang Xinwu (Eddie Peng) joins the investigation. After it is discovered that the drugs seized on the Chinese ships had been planted by the henchman of a notorious drug cartel leader named Naw Khar, the governments of Thailand, Laos, Myanmar and China launch a joint task force to apprehend the criminal. The road to justice is, however, paved with dangerous and deadly obstacles.",https://www.imdb.com/title/tt6044910/?ref_=sr_i_261,,,,,,,,,,,,,,
262. The Wailing,2016,2h 36m,TV-MA,7.4,88K,81,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.",https://www.imdb.com/title/tt5215952/?ref_=sr_i_262,,,,,,,,,,,,,,
263. 31,2016,1h 42m,,5.1,24K,35,"Five carnival workers are kidnapped and held hostage in an abandoned, hellish compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",https://www.imdb.com/title/tt3835080/?ref_=sr_i_263,,,,,,,,,,,,,,
264. Chongqing Hot Pot,2016,1h 34m,,6.6,1.4K,52,"When a young man and his friends dig a hole to expand their restaurant, they enter a nearby bank vault that is being robbed.",https://www.imdb.com/title/tt5596352/?ref_=sr_i_264,,,,,,,,,,,,,,
265. I Belonged to You,2016,1h 52m,PG-13,5.5,662,,A recently dumped radio host finds a new perspective on love when a young intern begins to work with him on his show.,https://www.imdb.com/title/tt6074202/?ref_=sr_i_265,,,,,,,,,,,,,,
266. Saturday's Warrior,2016,2h,PG,5.6,308,,A group of siblings comes to earth to experience trials crucial to their eternal progression and learn the true meaning of their existence.,https://www.imdb.com/title/tt4699130/?ref_=sr_i_266,,,,,,,,,,,,,,
267. The Monkey King 2,2016,1h 59m,Not Rated,5.9,3.6K,,"When a travelling monk is stranded in a wasteland, The Monkey King must escort him across the land to retrieve sacred scriptures and protect him from an evil demon.",https://www.imdb.com/title/tt4591310/?ref_=sr_i_267,,,,,,,,,,,,,,
268. The Exception,2016,1h 47m,R,6.8,16K,60,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",https://www.imdb.com/title/tt4721124/?ref_=sr_i_268,,,,,,,,,,,,,,
269. Little Men,2016,1h 25m,PG,6.7,7.9K,86,A new pair of best friends have their bond tested by their parents' battle over a dress shop lease.,https://www.imdb.com/title/tt4919484/?ref_=sr_i_269,,,,,,,,,,,,,,
270. Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,2016,2h 14m,Not Rated,8.6,885,,"Banda Singh Bahadur, transformed by divine grace, led the Sikh army to Punjab to uphold justice, punish oppressors who killed Guru Gobind Singh's sons and countless innocents.",https://www.imdb.com/title/tt6246170/?ref_=sr_i_270,,,,,,,,,,,,,,
271. Lost in Paris,2016,1h 23m,Not Rated,6.3,3.7K,74,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",https://www.imdb.com/title/tt2936884/?ref_=sr_i_271,,,,,,,,,,,,,,
272. Mr. Church,2016,1h 44m,PG-13,7.6,32K,37,Unique friendship develops when a girl and her dying mother retain the services of a talented cook - Henry Joseph Church. What begins as a six month arrangement instead spans into fifteen years and creates a family bond that lasts forever.,https://www.imdb.com/title/tt4196848/?ref_=sr_i_272,,,,,,,,,,,,,,
273. American Honey,2016,2h 43m,R,7.0,48K,80,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",https://www.imdb.com/title/tt3721936/?ref_=sr_i_273,,,,,,,,,,,,,,
274. Embrace: The Documentary,2016,1h 30m,TV-PG,7.2,1.1K,,"Embrace follows body image activist Taryn Brumfitt's crusade as she explores the global issue of body loathing, inspiring us to change the way we feel about ourselves and think about our bodies.",https://www.imdb.com/title/tt4862478/?ref_=sr_i_274,,,,,,,,,,,,,,
275. Range 15,2016,1h 29m,TV-MA,4.0,5.2K,,Veterans wake up after a night of partying to find out that the zombie apocalypse has spread across the United States.,https://www.imdb.com/title/tt4687276/?ref_=sr_i_275,,,,,,,,,,,,,,
276. Tickled,2016,1h 32m,R,7.5,22K,76,"Journalist David Farrier stumbles upon a mysterious tickling competition online. As he delves deeper he comes up against fierce resistance, but that doesn't stop him getting to the bottom of a story stranger than fiction.",https://www.imdb.com/title/tt5278506/?ref_=sr_i_276,,,,,,,,,,,,,,
277. Neither Wolf Nor Dog,2016,1h 50m,,7.3,384,57,A Lakota elder summons a white writer to visit him and help him write a book about his people.,https://www.imdb.com/title/tt3951908/?ref_=sr_i_277,,,,,,,,,,,,,,
278. Master,2016,2h 23m,Not Rated,6.6,2.7K,53,South Korea's financial crime unit launches a manhunt for a con man involved in a nationwide financial fraud after he absconds with the money and takes on a new identity.,https://www.imdb.com/title/tt5735464/?ref_=sr_i_278,,,,,,,,,,,,,,
279. Lo and Behold: Reveries of the Connected World,2016,1h 38m,PG-13,7.0,14K,76,Werner Herzog's exploration of the Internet and the connected world.,https://www.imdb.com/title/tt5275828/?ref_=sr_i_279,,,,,,,,,,,,,,
280. Gleason,2016,1h 50m,R,8.3,3.2K,80,"After he is diagnosed with ALS, former professional football player Steve Gleason begins making a video diary for his unborn son, as he, his wife, and their friends and family work to raise money for ALS patients as his disease progresses.",https://www.imdb.com/title/tt4632316/?ref_=sr_i_280,,,,,,,,,,,,,,
281. Tommy's Honour,2016,1h 52m,PG,6.4,1.4K,56,"In every generation, a torch passes from father to son. And that timeless dynamic is the beating heart of Tommy's Honour - an intimate, powerfully moving tale of the real-life founders of the modern game of golf.",https://www.imdb.com/title/tt3467914/?ref_=sr_i_281,,,,,,,,,,,,,,
282. Tunnel,2016,2h 6m,TV-14,6.8,11K,68,"A man is on his way home when the poorly constructed tunnel he is driving through collapses, leaving him trapped.",https://www.imdb.com/title/tt5910280/?ref_=sr_i_282,,,,,,,,,,,,,,
283. Cold War 2,2016,1h 50m,Not Rated,6.5,3.2K,56,"After the end of Cold War mission, a new incident is happened at Hong Kong. However, cops cannot catch the killer and the police suspects each other in the organization.",https://www.imdb.com/title/tt5112622/?ref_=sr_i_283,,,,,,,,,,,,,,
284. American Pastoral,2016,1h 48m,R,6.1,19K,43,An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America.,https://www.imdb.com/title/tt0376479/?ref_=sr_i_284,,,,,,,,,,,,,,
285. The Age of Shadows,2016,2h 20m,TV-MA,7.1,11K,78,Korean resistance fighters smuggle explosives to destroy facilities controlled by Japanese forces in this period action thriller.,https://www.imdb.com/title/tt4914580/?ref_=sr_i_285,,,,,,,,,,,,,,
286. Fitoor,2016,2h 11m,,5.4,5.4K,,Modern adaptation of Charles Dickens' Great Expectations; a poor but talented boy falls in love with a girl from an affluent family.,https://www.imdb.com/title/tt4399594/?ref_=sr_i_286,,,,,,,,,,,,,,
287. The First Monday in May,2016,1h 30m,PG-13,7.1,2K,57,"Follows the creation of The Metropolitan Museum of Art's most attended fashion exhibition in history, ""China: Through The Looking Glass,"" an exploration of Chinese-inspired Western fashions by Costume Institute curator Andrew Bolton.",https://www.imdb.com/title/tt5519566/?ref_=sr_i_287,,,,,,,,,,,,,,
288. Raw,2016,1h 39m,R,6.9,92K,81,"A young woman, studying to be a vet, develops a craving for human flesh.",https://www.imdb.com/title/tt4954522/?ref_=sr_i_288,,,,,,,,,,,,,,
289. Befikre,2016,2h 10m,Not Rated,4.1,8.4K,,"It is a carefree love story of Dharam and Shyra, who find love in an engaging series of experiences. Doused in the spirit of Paris, it celebrates a sensual and free-spirited love.",https://www.imdb.com/title/tt5108476/?ref_=sr_i_289,,,,,,,,,,,,,,
290. Wiener-Dog,2016,1h 28m,R,5.9,11K,66,"A dachshund passes from oddball owner to oddball owner, whose radically dysfunctional lives are all impacted by the pooch.",https://www.imdb.com/title/tt4144190/?ref_=sr_i_290,,,,,,,,,,,,,,
291. Luck-Key,2016,1h 52m,,6.9,3.3K,,A hapless loser assumes the identity of an amnesia victim without knowing that he is an assassin.,https://www.imdb.com/title/tt6175078/?ref_=sr_i_291,,,,,,,,,,,,,,
292. Gimme Danger,2016,1h 48m,R,7.2,6.7K,72,An in-depth look at legendary punk band The Stooges.,https://www.imdb.com/title/tt1714917/?ref_=sr_i_292,,,,,,,,,,,,,,
293. Baaghi,2016,2h 13m,Not Rated,5.3,11K,,A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.,https://www.imdb.com/title/tt4864932/?ref_=sr_i_293,,,,,,,,,,,,,,
294. I Am Not Madame Bovary,2016,2h 8m,Not Rated,6.9,2.5K,65,"After being swindled by her ex-husband, a woman takes on the Chinese legal system.",https://www.imdb.com/title/tt5918090/?ref_=sr_i_294,,,,,,,,,,,,,,
295. One Piece Film: Gold,2016,2h 4m,TV-14,7.1,7.8K,43,"Luffy and his pirates can't wait to board the glittering Sin City ship known as Gran Tesoro, but they soon find themselves in way over their heads.",https://www.imdb.com/title/tt5251328/?ref_=sr_i_295,,,,,,,,,,,,,,
296. Chasing Trane: The John Coltrane Documentary,2016,1h 39m,Not Rated,7.3,2.5K,69,"An exploration of the global power and impact of the music of John Coltrane where the passions, experiences and forces that shaped his life and revolutionary sounds are revealed.",https://www.imdb.com/title/tt4283892/?ref_=sr_i_296,,,,,,,,,,,,,,
297. Things to Come,2016,1h 42m,PG-13,6.9,15K,88,"A philosophy teacher soldiers through the death of her mother, losing her book deal, and dealing with a husband who is cheating on her.",https://www.imdb.com/title/tt4120176/?ref_=sr_i_297,,,,,,,,,,,,,,
298. The Wasted Times,2016,2h 5m,Unrated,6.9,2.1K,,"Over the course of several decades, a deal between the Japanese army and criminals in Shanghai plays out with violence and betrayal.",https://www.imdb.com/title/tt4623812/?ref_=sr_i_298,,,,,,,,,,,,,,
299. Letters from Baghdad,2016,1h 35m,TV-PG,6.9,496,71,"Gertrude Bell, the most powerful woman in the British Empire in her day, shaped the destiny of Iraq after WWI in ways that still reverberate today.",https://www.imdb.com/title/tt6086614/?ref_=sr_i_299,,,,,,,,,,,,,,
300. Mr. Donkey,2016,1h 53m,,7.4,2.3K,,"In an effort to draw more funding from the government, faculty members of a rural Chinese school try to pass off an uneducated laborer as a qualified teacher.",https://www.imdb.com/title/tt6167014/?ref_=sr_i_300,,,,,,,,,,,,,,
301. Eat That Question: Frank Zappa in His Own Words,2016,1h 33m,R,7.5,1.4K,74,"An in-depth look at the life and work of avant-garde musician, Frank Zappa.",https://www.imdb.com/title/tt5275830/?ref_=sr_i_301,,,,,,,,,,,,,,
302. Happy Bhaag Jayegi,2016,2h 6m,Not Rated,6.4,5.8K,,"After fleeing an arranged marriage, a feisty Indian woman finds herself stranded in Pakistan where the ex-governor's son helps reunite her with her boyfriend.",https://www.imdb.com/title/tt5472758/?ref_=sr_i_302,,,,,,,,,,,,,,
303. Kahaani 2,2016,2h 7m,Not Rated,6.5,6.2K,,A woman with a mysterious past is charged with kidnapping and murder.,https://www.imdb.com/title/tt5477608/?ref_=sr_i_303,,,,,,,,,,,,,,
304. L.O.R.D: Legend of Ravaging Dynasties,2016,1h 58m,13+,5.1,1.4K,,An orphan becomes the disciple of a powerful sorcerer and is drawn into a larger conflict among the world's magical elite.,https://www.imdb.com/title/tt4819576/?ref_=sr_i_304,,,,,,,,,,,,,,
305. Terrifier,2016,1h 25m,Unrated,5.5,79K,,A maniac named Art the Clown terrorizes two friends on Halloween and everyone who gets in his way.,https://www.imdb.com/title/tt4281724/?ref_=sr_i_305,,,,,,,,,,,,,,
306. Te3n,2016,2h 16m,,7.2,14K,,"A grandfather, a priest and a police officer investigate the case of a kidnapped child.",https://www.imdb.com/title/tt4814290/?ref_=sr_i_306,,,,,,,,,,,,,,
307. Kaashmora,2016,2h 43m,Not Rated,5.6,2.1K,,A fake witch doctor and his family are trapped in a rundown palace haunted by a strong and vengeful spirit.,https://www.imdb.com/title/tt5980232/?ref_=sr_i_307,,,,,,,,,,,,,,
308. The Bounce Back,2016,1h 44m,PG-13,5.3,780,,A relationship guru and best-selling author finds himself falling for the licensed therapist who questions his methods.,https://www.imdb.com/title/tt3253232/?ref_=sr_i_308,,,,,,,,,,,,,,
309. Chuck,2016,1h 38m,R,6.5,7.1K,68,"A drama inspired by the life of heavyweight boxer Chuck Wepner, who had a once-in-a-lifetime bout with Muhammad Ali that would inspire the film Rocky (1976).",https://www.imdb.com/title/tt1610525/?ref_=sr_i_309,,,,,,,,,,,,,,
310. AmeriGeddon,2016,1h 30m,PG-13,3.8,13K,,A family of dedicated patriots living in the United States decide to defend their country against a terrorist organization that shuts down electricity in America and tries to take over the nation.,https://www.imdb.com/title/tt4059702/?ref_=sr_i_310,,,,,,,,,,,,,,
311. Obit.,2016,1h 33m,,7.3,800,72,Writers and editors from the New York Times discuss their unique approach to writing the obituaries of public figures.,https://www.imdb.com/title/tt4820284/?ref_=sr_i_311,,,,,,,,,,,,,,
312. Citizen Jane: Battle for the City,2016,1h 32m,Not Rated,7.0,683,70,Writer and urban activist Jane Jacobs fights to save historic New York City during the ruthless redevelopment era of urban planner Robert Moses in the 1960s.,https://www.imdb.com/title/tt3699354/?ref_=sr_i_312,,,,,,,,,,,,,,
313. My Life as a Zucchini,2016,1h 10m,PG-13,7.8,31K,85,"After losing his mother, a young boy is sent to an orphanage with other orphans his age where he begins to learn the meaning of trust and true love.",https://www.imdb.com/title/tt2321405/?ref_=sr_i_313,,,,,,,,,,,,,,
314. Christine,2016,1h 59m,R,6.9,17K,72,"The story of Christine Chubbuck, a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.",https://www.imdb.com/title/tt4666726/?ref_=sr_i_314,,,,,,,,,,,,,,
