Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
31. Harakiri,1962,2h 13m,Not Rated,8.6,75K,,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",https://www.imdb.com/title/tt0056058/?ref_=sr_i_31,,,
32. To Kill a Mockingbird,1962,2h 9m,Approved,8.3,339K,,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,https://www.imdb.com/title/tt0056592/?ref_=sr_i_32,,,
33. The Manchurian Candidate,1962,2h 6m,PG-13,7.9,81K,,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,https://www.imdb.com/title/tt0056218/?ref_=sr_i_33,,,
34. The Man Who Shot Liberty Valance,1962,2h 3m,Approved,8.1,84K,,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.,https://www.imdb.com/title/tt0056217/?ref_=sr_i_34,,,
35. Cape Fear,1962,1h 46m,Approved,7.7,33K,,A lawyer's family is stalked by a man he once helped put in jail.,https://www.imdb.com/title/tt0055824/?ref_=sr_i_35,,,
36. The Exterminating Angel,1962,1h 35m,Not Rated,8.0,36K,,The guests at an upper-class dinner party find themselves unable to leave.,https://www.imdb.com/title/tt0056732/?ref_=sr_i_36,,,
37. Carnival of Souls,1962,1h 18m,PG,7.0,29K,,"After a traumatic accident, a woman becomes drawn to a mysterious abandoned carnival.",https://www.imdb.com/title/tt0055830/?ref_=sr_i_37,,,
38. Ivan's Childhood,1962,1h 35m,Not Rated,8.0,41K,,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.",https://www.imdb.com/title/tt0056111/?ref_=sr_i_38,,,
39. Vivre sa vie,1962,1h 25m,Not Rated,7.8,36K,,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,https://www.imdb.com/title/tt0056663/?ref_=sr_i_39,,,
40. Days of Wine and Roses,1962,1h 57m,Approved,7.8,14K,,"An alcoholic marries a young woman and systematically addicts her to booze so that they can share his ""passion"" together.",https://www.imdb.com/title/tt0055895/?ref_=sr_i_40,,,
41. Cléo from 5 to 7,1962,1h 30m,Not Rated,7.8,29K,,"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.",https://www.imdb.com/title/tt0055852/?ref_=sr_i_41,,,
42. The Trial,1962,1h 59m,Not Rated,7.6,25K,,"An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",https://www.imdb.com/title/tt0057427/?ref_=sr_i_42,,,
43. Experiment in Terror,1962,2h 3m,Approved,7.3,7K,,A man with an asthmatic voice telephones and assaults clerk Kelly Sherwood at home and coerces her into helping him steal a large sum from her bank.,https://www.imdb.com/title/tt0055972/?ref_=sr_i_43,,,
44. L'Eclisse,1962,2h 6m,Not Rated,7.7,23K,,"A young woman meets a vital young man, but their love affair is doomed because of the man's materialistic nature.",https://www.imdb.com/title/tt0056736/?ref_=sr_i_44,,,
45. Sanjuro,1962,1h 36m,Not Rated,8.0,42K,,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",https://www.imdb.com/title/tt0056443/?ref_=sr_i_45,,,
46. Gigot,1962,1h 44m,,7.1,1.4K,,"Jackie Gleason plays a mute janitor who befriends Nicole, the little daughter of a prostitute.",https://www.imdb.com/title/tt0056017/?ref_=sr_i_46,,,
47. Jules and Jim,1962,1h 45m,Not Rated,7.7,45K,,Decades of a love triangle concerning two friends and an impulsive woman.,https://www.imdb.com/title/tt0055032/?ref_=sr_i_47,,,
48. Salvatore Giuliano,1962,2h 5m,Not Rated,7.3,4.1K,,"The unclear and complicated twists between governal powers, independentist party and Mafia in the Sicily of the '40s culminate with the death of Salvatore Giuliano.",https://www.imdb.com/title/tt0055399/?ref_=sr_i_48,,,
49. Requiem for a Heavyweight,1962,1h 35m,Approved,7.8,5K,,"After suffering a brutal defeat and being told he can no longer fight, 37-year-old, scar-ridden prizefighter Louis 'Mountain' Rivera struggles to find a new direction in life.",https://www.imdb.com/title/tt0056406/?ref_=sr_i_49,,,
50. Panic in Year Zero!,1962,1h 33m,Approved,6.6,5K,,"A family leaves Los Angeles for a camping trip just before hydrogen bombs destroy the city. In the midst of the chaos, the father must fight to keep his family alive along the highway.",https://www.imdb.com/title/tt0056331/?ref_=sr_i_50,,,
51. The Brain That Wouldn't Die,1962,1h 22m,Approved,4.5,7.8K,,"A doctor experimenting with transplant techniques keeps his girlfriend's head alive when she is decapitated in a car crash, then goes hunting for a new body.",https://www.imdb.com/title/tt0052646/?ref_=sr_i_51,,,
52. Advise & Consent,1962,2h 19m,Approved,7.7,7.7K,,The polarizing search for a new Secretary of State has far-reaching consequences.,https://www.imdb.com/title/tt0055728/?ref_=sr_i_52,,,
53. The 300 Spartans,1962,1h 54m,Approved,6.5,7.8K,,A small Army of Greeks spearheaded by three hundred Spartans do battle with the whole invading Persian Army.,https://www.imdb.com/title/tt0055719/?ref_=sr_i_53,,,
54. Boccaccio '70,1962,3h 25m,Unrated,7.0,5.2K,,"Inspired by Boccaccio's novellas, each episode focuses on sex, love and seduction in Italy in the 1960s, an era of economic growth and major cultural changes.",https://www.imdb.com/title/tt0055805/?ref_=sr_i_54,,,
55. Birdman of Alcatraz,1962,2h 27m,Approved,7.8,20K,,A surly convicted murderer held in permanent isolation redeems himself when he becomes a renowned bird expert.,https://www.imdb.com/title/tt0055798/?ref_=sr_i_55,,,
56. Walk on the Wild Side,1962,1h 54m,Approved,6.7,3.1K,,"Poor lovesick white-trash Dove Linkhorn arrives in New Orleans searching for his former girlfriend Hallie Gerard, an artist who works in The Doll House brothel, whose madam Jo Courtney considers her girls to be her property.",https://www.imdb.com/title/tt0056671/?ref_=sr_i_56,,,
57. The Notorious Landlady,1962,2h 3m,Approved,6.7,3K,,"An American junior diplomat in London rents a house from, and falls in love with, a woman suspected of murder.",https://www.imdb.com/title/tt0056289/?ref_=sr_i_57,,,
58. Ride the High Country,1962,1h 34m,Approved,7.4,15K,,An ex-union soldier is hired to transport gold from a mining community through dangerous territory. But what he doesn't realize is that his partner and old friend is plotting to double-cross him.,https://www.imdb.com/title/tt0056412/?ref_=sr_i_58,,,
59. An Autumn Afternoon,1962,1h 53m,Not Rated,8.0,11K,,An aging widower arranges a marriage for his only daughter.,https://www.imdb.com/title/tt0056444/?ref_=sr_i_59,,,
60. Girls! Girls! Girls!,1962,1h 46m,PG,5.6,3.7K,,"When he finds out his boss is retiring to Arizona, a sailor has to find a way to buy the Westwind, a boat that he and his father built. He is also caught between two women: insensitive club singer Robin and sweet Laurel.",https://www.imdb.com/title/tt0056023/?ref_=sr_i_60,,,
61. Phaedra,1962,1h 55m,Not Rated,6.8,2K,,"To build bridges with his estranged son, a Greek shipping magnate enlists the help of his second wife, Phaedra. But, in rain-soaked Paris, their passionate affair threatens to destroy his empire. Will the modern temptress accept her fate?",https://www.imdb.com/title/tt0056346/?ref_=sr_i_61,,,
62. Knife in the Water,1962,1h 34m,Not Rated,7.4,24K,,"A couple pick up a hitchhiker on the way to their yacht. The husband invites the young man to come along for their day's sailing. As the voyage progresses, the antagonism between the two men grows. A violent confrontation is inevitable.",https://www.imdb.com/title/tt0056291/?ref_=sr_i_62,,,
63. A Dog's Life,1962,1h 48m,Approved,6.2,4.6K,,"A ""shockumentary"" consisting of a collection of mostly real archive footage displaying mankind at its most depraved and perverse, displaying bizarre rites, cruel behavior and bestial violence.",https://www.imdb.com/title/tt0057318/?ref_=sr_i_63,,,
64. Billy Budd,1962,2h 3m,Approved,7.8,5K,,"When a kind-hearted sailor is made to join an English vessel at war in 1797, he finds himself caught between devotion to his crewmates and obedience to their hated, cruel master-at-arms.",https://www.imdb.com/title/tt0055796/?ref_=sr_i_64,,,
65. Satan Never Sleeps,1962,2h 5m,Approved,6.0,901,,"During the Chinese Civil War of 1949, the Communists constantly harass the two priests of a remote Catholic mission outpost.",https://www.imdb.com/title/tt0056447/?ref_=sr_i_65,,,
66. Long Day's Journey Into Night,1962,2h 54m,Not Rated,7.5,6.1K,,"At the end of a long and hot summer day, members of one family gather in a large house. Everyone has something painful and offensive to say, and their silence is even worse.",https://www.imdb.com/title/tt0056196/?ref_=sr_i_66,,,
67. Follow That Dream,1962,1h 49m,Approved,6.5,3.1K,,"A family of ragtag vagabonds sets up a makeshift home on a Florida beach after becoming marooned there, prompting an uptight local bureaucrat to attempt to evict them.",https://www.imdb.com/title/tt0055992/?ref_=sr_i_67,,,
68. Jack the Giant Killer,1962,1h 34m,Approved,6.3,3.2K,,A farmboy-turned-knight must protect a princess from the schemes of an evil wizard.,https://www.imdb.com/title/tt0056112/?ref_=sr_i_68,,,
69. Lonely Are the Brave,1962,1h 47m,Approved,7.6,10K,,A fiercely independent cowboy gets himself locked up in prison to escape with an old friend.,https://www.imdb.com/title/tt0056195/?ref_=sr_i_69,,,
70. Night of the Eagle,1962,1h 30m,Not Rated,6.9,4.3K,,A woman who may be a witch defends her husband from forces attempting to harm him.,https://www.imdb.com/title/tt0056279/?ref_=sr_i_70,,,
71. Sweet Bird of Youth,1962,2h,Approved,7.1,8.7K,,"A drifter and a faded film star, both traumatized by Hollywood, arrive to the guy's hometown, where the old bitter memories revive again.",https://www.imdb.com/title/tt0056541/?ref_=sr_i_71,,,
72. Night Creatures,1962,1h 22m,Approved,6.6,3.8K,,"In 18th-century England, the Royal Crown sends Royal Navy Captain Collier and his crew to investigate reports of illegal smuggling and bootlegging in a coastal town where locals believe in Marsh Phantoms.",https://www.imdb.com/title/tt0056277/?ref_=sr_i_72,,,
73. King Kong vs. Godzilla,1962,1h 37m,,6.2,2.3K,,The advertising director of a pharmaceutical company seeks to boost the ratings of their sponsored TV program by capturing the legendary monster King Kong just as Godzilla re-emerges.,https://www.imdb.com/title/tt13364334/?ref_=sr_i_73,,,
74. Sherlock Holmes and the Deadly Necklace,1962,1h 24m,,5.4,1.3K,,"Sherlock Holmes and Watson do battle with their nemesis, Professor Moriarity, over an ancient necklace attributed to Cleopatra.",https://www.imdb.com/title/tt0056480/?ref_=sr_i_74,,,
75. The Phantom of the Opera,1962,1h 24m,Approved,6.4,3.9K,,An acid-scarred composer has his dwarf helper bring an opera singer to his London sewer hide-out.,https://www.imdb.com/title/tt0056347/?ref_=sr_i_75,,,
76. Destiny's Son,1962,1h 11m,,7.0,589,,A samurai seeks revenge and redemption after his family is executed by a rival clan.,https://www.imdb.com/title/tt0056144/?ref_=sr_i_76,,,
77. Mr. Hobbs Takes a Vacation,1962,1h 56m,Approved,6.8,6.1K,,"Mr. Hobbs wants to spend a quiet holiday at the beach, but his wife has invited all their family to stay with them.",https://www.imdb.com/title/tt0056255/?ref_=sr_i_77,,,
78. The Easy Life,1962,1h 48m,Not Rated,8.2,13K,,An impulsive braggart takes a shy law student with him for a two-day road trip from Rome to Tuscany.,https://www.imdb.com/title/tt0056512/?ref_=sr_i_78,,,
79. Carry on Cruising,1962,1h 29m,Not Rated,6.1,3.3K,,"Aboard cruise ship SS Happy Wanderer, Capt. Crowther faces incompetent replacements for crew like cook, doctor, officer. Passengers turn out bizarre too, compounding Crowther's frustrations as voyage progresses.",https://www.imdb.com/title/tt0055831/?ref_=sr_i_79,,,
80. Night of the Prowler,1962,1h,Not Rated,4.9,170,,When the director of a successful racing car company is shot dead the other directors have reason to believe their lives are at risk too. Suspect number one is an ex-employee just released from gaol who went down on their evidence.,https://www.imdb.com/title/tt0056280/?ref_=sr_i_80,,,
81. The Damned,1962,1h 27m,Approved,6.6,4.2K,,"An American tourist, a youth gang leader, and his troubled sister find themselves trapped in a top secret government facility experimenting on children.",https://www.imdb.com/title/tt0056576/?ref_=sr_i_81,,,
82. Gay Purr-ee,1962,1h 25m,Approved,6.6,2.2K,,A farm cat moves to Paris in search of the high life while her wannabe lover from back home tries to reunite.,https://www.imdb.com/title/tt0057093/?ref_=sr_i_82,,,
83. The Loneliness of the Long Distance Runner,1962,1h 44m,Not Rated,7.5,9.6K,,A young thief takes up long-distance running when he is sent to a borstal.,https://www.imdb.com/title/tt0056194/?ref_=sr_i_83,,,
84. The Horrible Dr. Hichcock,1962,1h 16m,,6.3,2.1K,,"In 1897 London, a woman weds a necrophiliac doctor whose first wife died under mysterious circumstances - and who might be returning from the grave to torment her successor.",https://www.imdb.com/title/tt0056315/?ref_=sr_i_84,,,
85. Tales of Terror,1962,1h 29m,Approved,6.8,8.7K,,Three tales of terror involve a grieving widower and the daughter he abandoned; a drunkard and his wife's black cat; and a hypnotist who prolongs the moment of a man's death.,https://www.imdb.com/title/tt0056552/?ref_=sr_i_85,,,
86. The War Lover,1962,1h 45m,Approved,6.5,2.3K,,"In 1943, while stationed in Britain, arrogant Captain Buzz Rickson is in command of a Boeing B-17 Flying Fortress bomber, but his recklessness is endangering everyone around him.",https://www.imdb.com/title/tt0056676/?ref_=sr_i_86,,,
87. The Intruder,1962,1h 24m,PG-13,7.5,4.3K,,"A charismatic ""social reformer"" rallies the white populace of a Southern town to oppose school integration, but he soon finds himself in a situation that he cannot control.",https://www.imdb.com/title/tt0055019/?ref_=sr_i_87,,,
88. The Magic Sword,1962,1h 20m,Approved,4.8,2.7K,,"The son of a sorceress, armed with weapons, armour and six magically summoned knights, embarks on a quest to save a princess from a vengeful wizard.",https://www.imdb.com/title/tt0056211/?ref_=sr_i_88,,,
89. Rome Adventure,1962,1h 59m,Approved,6.4,1.5K,,"Under fire for giving a student her copy of a romance novel, Prudence resigns from her teaching position and sails for Italy.",https://www.imdb.com/title/tt0056424/?ref_=sr_i_89,,,
90. Jigsaw,1962,1h 37m,Not Rated,7.2,1.7K,,A woman is found murdered in a house along the coast from Brighton. Local detectives Fellows and Wilks lead an investigation methodically following up leads and clues mostly in Brighton and Hove but also further afield.,https://www.imdb.com/title/tt0056121/?ref_=sr_i_90,,,
91. All Night Long,1962,1h 31m,Not Rated,7.1,1.6K,,"This movie, based on William Shakespeare's Othello, is neatly positioned as a vehicle to showcase some of the best jazz musicians of the period, including Dave Brubeck and Charles Mingus.",https://www.imdb.com/title/tt0054614/?ref_=sr_i_91,,,
92. Eegah,1962,1h 32m,Unrated,2.3,6.2K,,Teenagers stumble across a prehistoric caveman who goes on a rampage.,https://www.imdb.com/title/tt0055946/?ref_=sr_i_92,,,
93. Tower of London,1962,1h 19m,Approved,6.3,2.8K,,The twisted Richard III is haunted by the ghosts of those he has murdered in his attempt to become the King of England.,https://www.imdb.com/title/tt0056606/?ref_=sr_i_93,,,
94. Sergeants 3,1962,1h 52m,Approved,5.9,1.4K,,Three cavalry officers and a bugler work together to thwart a Native American chief intent on uniting local tribes against the white man.,https://www.imdb.com/title/tt0056470/?ref_=sr_i_94,,,
95. Freud,1962,2h 20m,Approved,7.2,3.5K,,"An examination of Czech-Austrian psychologist Sigmund Freud's career when he began to treat patients diagnosed with hysteria, using the radical technique of hypnosis.",https://www.imdb.com/title/tt0055998/?ref_=sr_i_95,,,
96. The Tale of Zatoichi,1962,1h 35m,Not Rated,7.6,6.1K,,"The adventures of a blind, gambling masseur who also happens to be a master swordsman.",https://www.imdb.com/title/tt0056714/?ref_=sr_i_96,,,
97. The Premature Burial,1962,1h 21m,Unrated,6.5,5K,,An artist grows distant from his new wife as an irrational horror of premature burial consumes him.,https://www.imdb.com/title/tt0056368/?ref_=sr_i_97,,,
98. 13 West Street,1962,1h 20m,Approved,6.3,944,,An aerospace engineer (Ladd) ignores a policeman (Steiger) and hunts down a gang of juvenile delinquents.,https://www.imdb.com/title/tt0055718/?ref_=sr_i_98,,,
99. The Trial of Joan of Arc,1962,1h 4m,,7.4,6.1K,,"A Joan of Arc's trial reconstruction concerning her imprisonment, interrogation and final execution at the hands of the English. Filmed in a spare, low-key fashion.",https://www.imdb.com/title/tt0059616/?ref_=sr_i_99,,,
100. The L-Shaped Room,1962,2h 6m,,7.3,2.3K,,"A single, pregnant woman moves into a London boarding house where she meets a group of fellow misfits.",https://www.imdb.com/title/tt0057239/?ref_=sr_i_100,,,
101. Damn the Defiant!,1962,1h 41m,Approved,7.1,3.1K,,"On the H.M.S. Defiant, during the French Revolutionary War, fair Captain Crawford is locked in a battle of wills against his cruel second-in-command Lieutenant Scott-Padget, whose heavy-handed command style pushes the crew to mutiny.",https://www.imdb.com/title/tt0055884/?ref_=sr_i_101,,,
102. If a Man Answers,1962,1h 42m,Approved,6.8,1.3K,,"Rich socialite Chantal marries Eugene, a photographer, and everything seems blissful until her envious friend attempts to break them up. In desperation, she turns to her mother, but the advice she receives may do more harm than good.",https://www.imdb.com/title/tt0056093/?ref_=sr_i_102,,,
103. Mamma Roma,1962,1h 50m,Not Rated,7.8,11K,,"An ex-prostitute reunites with her son, but an extortion scheme threatens her aspirations for a decent life.",https://www.imdb.com/title/tt0056215/?ref_=sr_i_103,,,
104. All Fall Down,1962,1h 51m,Approved,6.8,2.4K,,"Ralph (Karl Malden) and Annabell Willart (Dame Angela Lansbury) are a feuding couple who are constantly bickering over their worthless, good-for-nothing son Berry-Berry (Warren Beatty). When Berry-Berry begins yet another meaningless love affair, this time with an older woman named Echo O'Brien (Eva Marie Saint), he really gets his parents at each others' throats.",https://www.imdb.com/title/tt0055738/?ref_=sr_i_104,,,
105. Journey to the Seventh Planet,1962,1h 17m,Approved,4.7,1.9K,,"Earth sends a five-man team to explore the frozen planet Uranus, only to find a temperate forest and sultry women from their past on it, courtesy of an alien brain with evil designs.",https://www.imdb.com/title/tt0056127/?ref_=sr_i_105,,,
106. The Devil's Trap,1962,1h 25m,,7.5,791,,A priest travels to investigate a miller suspected to be working with the devil.,https://www.imdb.com/title/tt0054780/?ref_=sr_i_106,,,
107. Six Black Horses,1962,1h 20m,Approved,6.4,1K,,A beautiful woman with an ulterior motive hires two gunslingers to escort her through Indian territory so she can be reunited with her awaiting husband.,https://www.imdb.com/title/tt0056496/?ref_=sr_i_107,,,
108. Blaze Starr Goes Nudist,1962,1h 15m,Not Rated,4.0,510,,"Stripper Blaze Starr, playing herself, drives her agent--who is also her fiancé--to distraction by ignoring scheduled ""press functions"" and spending her weekends at a nudist camp.",https://www.imdb.com/title/tt0053658/?ref_=sr_i_108,,,
109. The Prince and the Pauper,1962,1h 33m,TV-PG,6.3,466,,"Two boys, one a prince and one a poor boy, change places.",https://www.imdb.com/title/tt1836776/?ref_=sr_i_109,,,
110. The Bellboy and the Playgirls,1962,1h 34m,,2.7,387,,This Bellboy is after more than just big tips.,https://www.imdb.com/title/tt0056355/?ref_=sr_i_110,,,
111. The Brainiac,1962,1h 17m,Approved,5.0,1.4K,,"In 1661 Mexico, Baron Vitelius is executed for witchcraft. 300 years later, during a comet's return, he resurfaces as a brain-eating monster seeking revenge on the Inquisitors' descendants.",https://www.imdb.com/title/tt0054668/?ref_=sr_i_111,,,
112. Light in the Piazza,1962,1h 42m,Not Rated,6.9,2K,,"Upper class Americans Noel and Meg Johnson have a twenty-six year old daughter named Clara Johnson. Clara suffered a head injury as a child which resulted in her being mentally disabled. Clara's mental capacity is equivalent to that of a ten year old. In many social situations, Clara's disability can be passed off as a simple joy of life. The issue of Clara's care has placed a strain between Noel and Meg, the latter who clings to the hope that one day Clara can lead a ""normal"" life. While on an extended vacation through Italy, Meg and Clara meet a twenty-three year old Italian named Fabrizio Naccarelli in Florence. Fabrizio is instantly smitten with Clara, who returns the affection. Always protecting Clara, Meg initially resists Fabrizio's constant measures to insinuate himself into their lives. But as Meg learns more about Fabrizio and meets his family, Meg begins to believe a marriage between Fabrizio and Clara is Clara's chance for that normal life, all the while not telling the Naccarellis of Clara's issue. This belief places a further strain between Meg and Noel, who still wants Clara placed in some sort of institution. Not having met the Naccarellis, Noel also believes they have ulterior motives in their actions. But what happens if the Nacarellis find out about Clara's disability?",https://www.imdb.com/title/tt0056183/?ref_=sr_i_112,,,
113. Sahib Bibi Aur Ghulam,1962,2h 32m,Not Rated,8.1,1.9K,,"A lowly servant, Bhootnath gets close to the wife of his employer and narrates her story through his eyes and perspective.",https://www.imdb.com/title/tt0056436/?ref_=sr_i_113,,,
114. Electra,1962,1h 50m,Not Rated,7.6,1.9K,,"Living in exile after their father's death, the children of an usurped and murdered king converge to exact eye-for-an-eye revenge.",https://www.imdb.com/title/tt0055950/?ref_=sr_i_114,,,
