Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
117. Shelby Oaks,2024,1h 31m,R,5.3,15K,41.0,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.,https://www.imdb.com/title/tt14999684/?ref_=sr_i_117,"['Sam Liz', 'Chris Stuckmann']",['Chris Stuckmann'],"['Camille Sullivan', 'Brendan Sexton III', 'Michael Beach', 'Sarah Durn', 'Mason Heidger', 'Joe Quinn', 'Mariah Burks', 'Rebecca DeMarco', 'C.L. Simpson', 'Sloane Burkett']","$1,400,000 (estimated)","$2,346,918","$8,140,300","$4,500,051","October 24, 2025","['Belgium', 'United States']","['Mansfield Reformatory - 100 Reformatory Road, Mansfield, Ohio, USA (Prison)']","['Paper Street Pictures', 'Intrepid Pictures', 'Title Media']","Awards, 1 nomination total","['B-Horror', 'Body Horror', 'Folk Horror', 'Monster Horror', 'Psychological Horror', 'Psychological Thriller', 'Supernatural Horror', 'Horror', 'Mystery', 'Thriller']",['English']
118. Y2K,2024,1h 31m,R,4.7,21K,49.0,Two high-school nobodies make the decision to crash a Y2K party. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.,https://www.imdb.com/title/tt27218960/?ref_=sr_i_118,"['Kyle Mooney', 'Evan Winter']",['Kyle Mooney'],"['Jaeden Martell', 'Rachel Zegler', 'Julian Dennison', 'Daniel Zolghadri', 'Lachlan Watson', 'Fred Durst', 'Kyle Mooney', 'Eduardo Franco', 'Mason Gooding', 'The Kid Laroi']","$15,000,000 (estimated)","$2,113,923","$4,481,473","$4,446,596","December 6, 2024",['United States'],"['Ringwood, New Jersey, USA (Fieldstone Plaza, Skyline Drive)']","['A24', 'American Light & Fixture', 'Strong Baby']","Awards, 1 nomination total","['Artificial Intelligence', 'Splatter Horror', 'Teen Comedy', 'Teen Horror', 'Comedy', 'Horror', 'Sci-Fi']",['English']
119. In a Violent Nature,2024,1h 34m,Not Rated,5.5,32K,68.0,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 70-year old crime, his body is resurrected and becomes hellbent on retrieving it.",https://www.imdb.com/title/tt30321146/?ref_=sr_i_119,['Chris Nash'],['Chris Nash'],"['Ry Barrett', 'Andrea Pavlovic', 'Cameron Love', 'Reece Presley', 'Liam Leone', 'Charlotte Creaghan', 'Lea Rose Sebastianis', 'Sam Roulston', 'Alexander Oliver', 'Timothy Paul McCarthy']","$600,000 (estimated)","$2,155,346","$4,561,656","$4,229,999","June 28, 2024",['Canada'],"['Kawartha Lakes, Ontario, Canada (set locations)']","['Zygote Pictures', 'Low Sky Productions']","Awards, 1 win & 7 nominations total","['Body Horror', 'Folk Horror', 'Slasher Horror', 'Splatter Horror', 'Teen Horror', 'Drama', 'Horror', 'Thriller']",['English']
120. For King + Country: A Drummer Boy Christmas - Live,2024,1h 30m,,8.3,198,,"Featuring holiday classics like ""Little Drummer Boy"" and original songs, it retells the Nativity story with themes of hope, love, and redemption in a stunning live performance.",https://www.imdb.com/title/tt34422601/?ref_=sr_i_120,"['Joel David Smallbone', 'Luke Smallbone', 'Gabe Baker']","['Joel David Smallbone', 'Kadin Tooley']","['Joel David Smallbone', 'Luke Smallbone', 'Gabe Baker', 'Vincent DiCarlo', 'Chris Karabelas', 'Danny Lopez', 'Garrett P. Tyler', 'Hannah Tyler']",,"$2,263,645","$4,358,958","$4,227,406","December 12, 2024",['United States'],"['Houston, Texas, USA (Toyota Center)']","['A. Walshworks', 'Curb Records', 'Sony Pictures Post Production']",,['Music'],['English']
121. The Apprentice,2024,2h 2m,R,7.1,74K,64.0,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",https://www.imdb.com/title/tt8368368/?ref_=sr_i_121,['Gabriel Sherman'],['Ali Abbasi'],"['Sebastian Stan', 'Jeremy Strong', 'Martin Donovan', 'Maria Bakalova', 'Catherine McNally', 'Charlie Carrick', 'Ben Sullivan', 'Mark Rendall', 'Joe Pingue', 'Ron Lea']","$15,000,000 (estimated)","$1,613,233","$17,299,154","$4,001,904","October 11, 2024","['Canada', 'Denmark', 'Ireland', 'United States']","['Toronto, Ontario, Canada (location)']","['Scythia Films', 'Gidden Media', 'Rocket Science']","Nominated for 2 Oscars, 10 wins & 41 nominations total","['Docudrama', 'Period Drama', 'Biography', 'Drama', 'History']","['English', 'Hebrew']"
122. The Friend,2024,1h 59m,R,6.4,7.7K,70.0,"When a solitary writer adopts and bonds with a Great Dane that belonged to a late friend, she begins to come to terms with her past and her own creative inner life.",https://www.imdb.com/title/tt18108824/?ref_=sr_i_122,"['Scott McGehee', 'David Siegel', 'Sigrid Nunez']","['Scott McGehee', 'David Siegel']","['Bill Murray', 'Naomi Watts', 'Cloé Xhauflaire', 'Susan Wands', 'Susan Lynskey', 'Joel Van Liew', 'Josh Pais', 'Carla Gugino', 'Constance Wu', 'Noma Dumezweni']",,"$67,629","$5,237,117","$3,941,217","April 4, 2025",['United States'],"['New York City, New York, USA']","['3dot productions', 'Big Creek Projects']","Awards, 1 win & 3 nominations total","['Comedy', 'Drama']",['English']
123. Babes,2024,1h 44m,R,6.3,7.5K,72.0,"Lifelong friends Eden and Dawn, one single and wanting a baby, the other already a mother, navigate challenges to their bond when Eden pursues pregnancy alone after a one-night stand.",https://www.imdb.com/title/tt21276958/?ref_=sr_i_123,"['Ilana Glazer', 'Josh Rabinowitz']",['Pamela Adlon'],"['Ilana Glazer', 'Michelle Buteau', 'Hasan Minhaj', 'John Carroll Lynch', 'Stephan James', 'Caleb Mermelstein-Knox', 'Oliver Platt', 'Elena Ouspenskaia', 'Keith Lucas', 'Kenneth Lucas']",,"$163,130","$3,898,742","$3,800,038","May 17, 2024",['United States'],,"['FilmNation Entertainment', 'Range Media Partners', 'Starrpix']","Awards, 4 nominations total","['Buddy Comedy', 'Comedy']",['English']
124. Queer,2024,2h 17m,R,6.3,31K,72.0,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone.",https://www.imdb.com/title/tt24176060/?ref_=sr_i_124,"['William S. Burroughs', 'Justin Kuritzkes']",['Luca Guadagnino'],"['Daniel Craig', 'Daan de Wit', 'Jason Schwartzman', 'Henrique Zaga', 'Colin Bates', 'Drew Starkey', 'Simon Rizzoni', 'Drew Droege', 'Ariel Schulman', 'Andra Ursuta']",,"$200,951","$7,020,863","$3,736,813","March 29, 2025","['Italy', 'United States']","['Cinecittà, Rome, Lazio, Italy']","['The Apartment', 'Frenesy Film Company', 'FremantleMedia North America']","Awards, 4 wins & 65 nominations total","['Period Drama', 'Psychological Drama', 'Biography', 'Drama', 'History', 'Romance']","['English', 'Spanish', 'French']"
125. We Bury the Dead,2024,1h 35m,R,5.6,17K,61.0,"After a military catastrophe leaves Tasmania filled with partially reanimated corpses, a volunteer searching for her missing husband abandons recovery operations and travels south through isolated communities collapsing beneath guilt.",https://www.imdb.com/title/tt29713093/?ref_=sr_i_125,['Zak Hilditch'],['Zak Hilditch'],"['Daisy Ridley', 'Brenton Thwaites', 'Mark Coles Smith', 'Matt Whelan', 'Chloe Hurst', 'Kym Jackson', 'Dan Paris', 'Deanna Cooney', 'Nicola Bartlett', 'Kim Fleming']",,"$2,502,075","$3,897,454","$3,711,918","January 2, 2026","['Australia', 'United States']","['Perth, Western Australia, Australia']","['The Penguin Empire', 'Campfire Studios', 'Giant Leap Media']","Awards, 4 nominations total","['Monster Horror', 'Zombie Horror', 'Horror', 'Thriller']",['English']
126. Attack on Titan: The Last Attack,2024,2h 25m,,9.0,32K,,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",https://www.imdb.com/title/tt33175825/?ref_=sr_i_126,"['Hajime Isayama', 'Shintarô Kawakubo', 'Hiroshi Seko']","['Ryota Aikei', 'Yūichirō Hayashi', 'Tokio Igarashi']","['Tomás Abalo', 'Natsuki Hanae', 'Yoshimasa Hosoya', 'Marina Inoue', 'Yui Ishikawa', 'Yûki Kaji', 'Hiroshi Kamiya', 'Takehito Koyasu', 'Shiori Mikami', 'Manami Numakura']",,"$170,239","$25,956,985","$3,638,404","November 8, 2024",['Japan'],,['Mappa'],"Awards, 2 nominations total","['Japanese', 'Action Epic', 'Adult Animation', 'Adventure Epic', 'Anime', 'Body Horror', 'Hand-Drawn Animation', 'Shōnen', 'Action', 'Adventure']",['Japanese']
