Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
51. The Blue Max,1966,2h 36m,Approved,7.1,7.8K,,"A young pilot in the German air force of 1918, disliked as lower-class and unchivalrous, tries ambitiously to earn the medal offered for 20 kills.",https://www.imdb.com/title/tt0060177/?ref_=sr_i_51,,,
52. The Swinger,1966,1h 21m,Not Rated,5.3,583,,An authoress writes a steaming sex-novel and proceeds to live out her heroine's adventures.,https://www.imdb.com/title/tt0061052/?ref_=sr_i_52,,,
53. Mademoiselle,1966,1h 43m,Not Rated,7.1,1.7K,,"Residents of a small French town are quick to accuse Manou of arson because he seduced most of the town's women. No one suspects the real culprit, a woman committing random crimes, all in an attempt to draw Manou's attention to herself.",https://www.imdb.com/title/tt0060648/?ref_=sr_i_53,,,
54. A Funny Thing Happened on the Way to the Forum,1966,1h 39m,Approved,6.8,10K,,"A wily Roman slave schemes to earn his freedom by romantically uniting his master with a courtesan. But matters get complicated and he ends up dragging in his neighbors around him, leading to chaos.",https://www.imdb.com/title/tt0060438/?ref_=sr_i_54,,,
55. A Man and a Woman,1966,1h 42m,Approved,7.5,12K,,"A widow and a widower find their relationship developing into love, but their past tragedies prove hard to overcome, causing them to proceed with utmost delicacy.",https://www.imdb.com/title/tt0061138/?ref_=sr_i_55,,,
56. Chelsea Girls,1966,3h 30m,Unrated,5.7,1.6K,,"Lacking a formal narrative, Warhol's art house classic follows various residents of the Chelsea Hotel in 1966 New York City, presented in a split screen with a single audio track in conjunction with one side of screen.",https://www.imdb.com/title/tt0061465/?ref_=sr_i_56,,,
57. This Property Is Condemned,1966,1h 50m,Unrated,7.0,6.5K,,"The dramatic love story of small-town Mississippi girl Alva Starr and railroad official Owen Legate, set during the Great Depression.",https://www.imdb.com/title/tt0061089/?ref_=sr_i_57,,,
58. Cul-de-sac,1966,1h 52m,Not Rated,7.0,14K,,"In search of help, two wounded gangsters on the run find refuge in the secluded castle of a feeble man and his wife; however, under the point of a gun, nothing is what it seems.",https://www.imdb.com/title/tt0060268/?ref_=sr_i_58,,,
59. Triple Cross,1966,2h 20m,PG,6.3,3.3K,,"During WW2, convicted bank robber Eddie Chapman becomes a triple agent working for both the British and the Germans.",https://www.imdb.com/title/tt0061647/?ref_=sr_i_59,,,
60. The Appaloosa,1966,1h 38m,Approved,6.2,3.7K,,Man tries to recover a horse stolen from him by a Mexican bandit.,https://www.imdb.com/title/tt0060120/?ref_=sr_i_60,,,
61. Second Wind,1966,2h 30m,Not Rated,7.9,7K,,"A gangster escapes jail and quickly makes plans to continue his criminal ways elsewhere, but a determined inspector is closing in.",https://www.imdb.com/title/tt0060305/?ref_=sr_i_61,,,
62. The Rare Breed,1966,1h 37m,Approved,6.3,4.1K,,"An English woman and her daughter enlist the aid of a cowboy to try and get their hardy hornless bull to mate with the longhorns of Texas, but have to overcome greedy criminals and the natural elements.",https://www.imdb.com/title/tt0060884/?ref_=sr_i_62,,,
63. Harper,1966,2h 1m,Approved,6.8,11K,,Cool private investigator Lew Harper is hired by a wealthy California matron to locate her kidnapped husband.,https://www.imdb.com/title/tt0060490/?ref_=sr_i_63,,,
64. Born Free,1966,1h 35m,PG,7.2,7.2K,,"The story of George and Joy Adamson and the orphaned lion cub, Elsa, they adopt.",https://www.imdb.com/title/tt0060182/?ref_=sr_i_64,,,
65. Carry on Screaming!,1966,1h 37m,Not Rated,6.7,6K,,The sinister Dr Watt has an evil scheme going. He's kidnapping beautiful young women and turning them into mannequins to sell to local stores.,https://www.imdb.com/title/tt0060214/?ref_=sr_i_65,,,
